Estación:       ACAYUCAN,  VER
Operada por:    SMN EMAS
Longitud:       94°54'03"  Latitud: 17°58'36"  Altitud: 106

DD/MM/AAAA HH:MM      DIRS      DIRR  RAPVIENTO2  RAPRAFAGA2      TEMP        HR        PB      PREC   RADSOL
29/01/2019 00:00       280       310      9.43     22.90      22.2        81     998.2       0.0       4.7
29/01/2019 01:00       270       288      4.39     18.20      20.1        90     998.9       0.0       0.0
29/01/2019 02:00       261       278      5.70     21.00      18.7        95     999.6       0.0       0.0
29/01/2019 03:00       256       273      5.32     13.00      18.2        95    1000.0       0.0       0.0
29/01/2019 04:00       258       271      3.71      8.20      17.3        97    1000.3       0.0       0.0
29/01/2019 05:00       234       272      3.63      8.80      16.7        97    1000.1       0.0       0.0
29/01/2019 06:00       243       253      1.54      5.80      16.2        98    1000.1       0.0       0.0
29/01/2019 07:00       231       229      3.26      8.60      16.0        99     999.7       0.0       0.0
29/01/2019 08:00       215       275      2.65     12.80      15.7       100     999.2       0.0       0.0
29/01/2019 09:00       236       262      2.26      7.10      15.4       100     999.2       0.1       0.0
29/01/2019 10:00       213       242      1.52     11.90      15.4       100     999.4       0.0       0.0
29/01/2019 11:00       234       243      5.30     13.60      15.3       100    1000.1       0.0       0.0
29/01/2019 12:00       226       243      4.30     14.90      16.0       100    1001.2       0.0       0.2
29/01/2019 13:00       214       221      4.26     17.00      17.4       100    1002.4       0.0      16.8
29/01/2019 14:00       168       191     10.74     21.70      19.6        94    1003.5       0.0      75.0
29/01/2019 15:00       178       183     11.11     29.20      20.5        88    1004.6       0.0     121.3
29/01/2019 16:00       166       198     12.20     25.10      19.7        91    1005.4       0.0      83.7
29/01/2019 17:00       159       168     11.28     19.60      19.9        92    1005.4       0.0     103.3
29/01/2019 18:00       155       170     13.91     26.70      20.7        93    1005.2       0.0     207.5
29/01/2019 19:00       142       156     12.49     25.20      22.1        90    1004.5       0.0     295.0
29/01/2019 20:00       136       155     13.30     29.30      24.1        83    1003.6       0.0     596.5
29/01/2019 21:00       139       154     15.56     34.20      24.5        82    1003.2       0.0     475.2
29/01/2019 22:00       133       163      9.38     22.60      23.7        83    1003.1       0.0      70.0
29/01/2019 23:00       124       124      4.51     14.50      22.8        90    1003.3       0.0      22.0
30/01/2019 00:00       162       251      4.45     18.80      22.1        96    1003.7       0.0       1.8
30/01/2019 01:00       142       177      4.87     18.40      21.5        98    1004.1       0.0       0.0
30/01/2019 02:00       266       299      1.37     33.00      20.9        98    1004.9       0.0       0.0
30/01/2019 03:00       122       133      4.71     16.80      20.2        99    1005.3       0.0       0.0
30/01/2019 04:00       159       173      8.14     26.10      20.1       100    1005.5       0.0       0.0
30/01/2019 05:00       175       171      8.18     22.90      20.0       100    1005.3       0.0       0.0
30/01/2019 06:00       240       190      2.19     15.00      19.8       100    1005.2       0.0       0.0
30/01/2019 07:00       186       169      4.39     16.70      19.5       100    1004.8       0.0       0.0
30/01/2019 08:00       126       174      3.08     13.00      19.3       100    1004.5       0.0       0.0
30/01/2019 09:00       178       179      9.06     23.80      19.2       100    1004.1       0.0       0.0
30/01/2019 10:00       178       204     11.24     27.90      19.2       100    1003.9       0.0       0.0
30/01/2019 11:00       176       192      8.61     25.70      18.8       100    1004.0       0.0       0.0
30/01/2019 12:00       195       218      8.99     23.90      18.7       100    1004.3       0.0       0.0
30/01/2019 13:00       174       197      6.70     20.20      18.5       100    1004.9       0.0       7.3
30/01/2019 14:00       200       240      7.14     19.60      18.7       100    1005.6       0.0      31.2
30/01/2019 15:00       206       220      6.36     18.50      19.4       100    1006.0       0.0      74.5
30/01/2019 16:00       197       209      8.14     20.90      20.7        98    1005.9       0.0     260.7
30/01/2019 17:00       152       209      2.61     24.10      23.8        83    1005.1       0.0     574.8
30/01/2019 18:00       118       154      9.32     24.60      23.6        81    1004.1       0.0     252.3
30/01/2019 19:00        87       114      4.06     24.30      23.4        81    1003.0       0.0     305.8
30/01/2019 20:00       146       146      6.35     18.00      24.9        73    1001.9       0.0     418.2
30/01/2019 21:00       153       110      3.77     15.80      25.7        69    1001.3       0.0     395.7
30/01/2019 22:00       287       278      5.67     19.70      25.3        72    1001.3       0.0     186.5
30/01/2019 23:00       276       281      7.28     21.50      24.3        79    1001.6       0.0      72.0
31/01/2019 00:00       291       279     11.43     31.90      22.8        87    1002.1       0.0       0.0
31/01/2019 01:00       275       281      9.83     28.90      22.0        90    1002.9       0.0       0.0
31/01/2019 02:00       276       279      5.42     16.30      21.7        91    1003.6       0.0       0.0
