Estación:       EL DIENTE,  NL
Operada por:    SMN EMAS
Longitud:       100°18'30"  Longitud: 25°34'37"  Altitud: 734

DD/MM/AAAA HH:MM      DIRS      DIRR      RAPVIENTO2  RAPRAFAGA2      TEMP        HR        PB      PREC   RADSOL    TEMPCOMB     HUMCOMB     HUMSUBS    TEMPSUBS
29/01/2019 01:00         291         312        3.33        9.40        11.9          90       926.7         0.0         0.0        10.4          54          27        15.7
29/01/2019 02:00         303         309        3.99        9.70        11.5          90       927.8         0.0         0.0         9.9          62          27        15.7
29/01/2019 03:00         295         307        3.78       10.40        11.2          99       929.3         0.0         0.0         9.6          68          27        15.7
29/01/2019 04:00         253         150        3.15       13.00        11.4          99       931.0         0.0         0.0         9.6          73          27        15.7
29/01/2019 05:00         293         314        2.82       11.20        11.2          88       932.5         0.0         0.0         8.8          77          27        15.7
29/01/2019 06:00         252         205        3.67       14.00         9.8          84       933.4         0.0         0.0         7.7          80          27        15.5
29/01/2019 07:00         255         201        4.01       17.30        10.5          63       934.3         0.0         0.0         7.4          81          27        15.4
29/01/2019 08:00         265         233        3.81       28.10         9.5          72       935.1         0.0         0.0         6.9          81          27        15.3
29/01/2019 09:00         287         316        3.23       11.50         7.0          97       935.8         0.0         0.0         5.4          82          27        15.1
29/01/2019 10:00         288         315        3.74       10.40         5.8         100       936.6         0.0         0.0         4.5          84          27        15.0
29/01/2019 11:00         287         307        3.56       11.20         5.2         100       937.2         0.0         0.0         3.9          85          27        14.8
29/01/2019 12:00         284         319        2.68        8.30         4.5         100       937.9         0.0         0.0         3.4          86          27        14.7
29/01/2019 13:00         279         298        1.80        7.60         4.1         100       938.3         0.0         4.5         3.1          87          27        14.5
29/01/2019 14:00         138         139        2.91       13.30         5.0          94       938.8         0.0        86.7         4.7          89          27        14.3
29/01/2019 15:00          86          89        9.35       20.20         9.3          55       939.1         0.0       305.7        10.5          88          26        14.1
29/01/2019 16:00          91          85        8.22       21.60        11.0          47       939.2         0.0       533.8        17.7          74          26        14.0
29/01/2019 17:00          87          73        6.38       17.30        12.8          41       938.2         0.0       663.5        22.9          61          27        14.0
29/01/2019 18:00         102          95        5.70       16.60        13.9          39       936.9         0.0       754.7        27.6          45          27        14.0
29/01/2019 19:00         124          75        4.39       19.10        14.7          37       935.5         0.0       749.7        30.8          31          27        14.1
29/01/2019 20:00          23           8        7.23       27.40        15.7          38       934.0         0.0       670.2        32.6          24          26        14.3
29/01/2019 21:00          25          58       10.92       40.00        15.2          40       932.9         0.0       534.7        23.5          22          26        14.5
29/01/2019 22:00         345          48        9.74       32.80        13.7          45       932.3         0.0       194.7        20.8          25          26        14.7
29/01/2019 23:00         354          44        9.00       27.40        10.8          52       932.4         0.0        27.0        11.2          29          26        15.0
30/01/2019 00:00         348         299        7.28       22.30         9.6          56       932.9         0.0         4.8         8.7          36          26        15.1
30/01/2019 01:00         333         336        4.23       20.50         8.1          64       933.4         0.0         0.0         6.9          40          26        15.2
30/01/2019 02:00         236         351        2.77        9.00         6.1          84       934.0         0.0         0.0         5.2          46          26        15.2
30/01/2019 03:00         227         199        3.15       10.10         4.7          96       934.2         0.0         0.0         4.1          51          26        15.2
30/01/2019 04:00         263         325        2.71       11.20         4.2          99       934.3         0.0         0.0         3.5          56          26        15.0
30/01/2019 05:00         219         221        3.29        9.70         4.0          96       933.6         0.0         0.0         3.5          61          26        14.9
30/01/2019 06:00         244         306        2.58        7.20         4.2          99       933.7         0.0         0.0         3.9          65          26        14.8
30/01/2019 07:00         225         210        1.96        6.10         3.4         100       933.4         0.0         0.0         3.2          68          26        14.6
30/01/2019 08:00         284         290        2.41        8.30         3.6         100       932.5         0.0         0.0         3.7          71          26        14.4
30/01/2019 09:00         280         284        2.34        6.80         3.7         100       931.4         0.0         0.0         3.6          74          26        14.2
30/01/2019 10:00         263         306        2.84        6.50         3.7         100       930.4         0.0         0.0         3.8          76          26        14.1
30/01/2019 11:00         271         300        2.14        6.50         3.2         100       930.5         0.0         0.0         2.9          77          26        13.9
30/01/2019 12:00         266         319        2.79        6.80         2.3         100       931.3         0.0         0.0         2.1          79          26        13.8
30/01/2019 13:00         279         317        2.25        6.80         2.6         100       932.5         0.0         3.8         2.6          80          26        13.6
30/01/2019 14:00         133         193        0.54        5.40         3.4         100       933.4         0.0        74.2         4.0          83          26        13.5
30/01/2019 15:00         103          92        3.57       10.40         7.3          85       933.9         0.0       338.8         9.9          84          25        13.3
30/01/2019 16:00         113          70        2.88        9.00        10.5          61       934.2         0.0       424.3        16.3          72          25        13.3
30/01/2019 17:00          84          69        4.72       16.60        12.7          52       933.9         0.0       654.0        22.9          61          26        13.3
30/01/2019 18:00         116          50        4.16       16.60        14.6          46       933.1         0.0       749.3        28.0          46          26        13.3
30/01/2019 19:00          75          68        5.82       16.60        15.9          44       932.0         0.0       767.3        32.2          32          26        13.4
30/01/2019 20:00          82          68        9.98       22.30        15.7          51       931.4         0.0       648.0        31.5          26          25        13.6
30/01/2019 21:00          92          59        5.83       23.80        14.9          56       931.3         0.0       508.8        23.3          26          25        13.8
30/01/2019 22:00          73          91        5.31       16.60        14.0          66       931.4         0.0       177.3        19.0          31          26        14.1
30/01/2019 23:00          87          77        3.29       11.20        11.7          86       931.9         0.0        24.2        13.6          38          25        14.4
31/01/2019 00:00          83          74        4.96       16.90        10.8          94       931.8         0.0         1.3        11.7          46          25        14.6
31/01/2019 01:00          86          67        3.91       14.00        10.3         100       932.1         0.0         0.0        11.0          52          25        14.7
31/01/2019 02:00          35          45        2.30       16.60        10.2         100       932.7         0.0         0.0        10.7          58          25        14.8
31/01/2019 03:00          51          23        1.99        8.60         9.6         100       932.9         0.0         0.0        10.2          64          25        14.9
31/01/2019 04:00          66          38        1.33        5.80         9.3         100       932.8         0.0         0.0         9.9          68          25        14.9
31/01/2019 05:00         268          92        1.57        5.80         8.2         100       932.5         0.0         0.0         8.2          71          25        14.8
31/01/2019 06:00         257         219        1.56        4.70         7.4         100       931.8         0.0         0.0         7.7          75          25        14.7
