CNA-SMN-SPMLP-CLIMATOLOG?A
BASE DE DATOS CLIMATOL?GICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JUNIO 2018
 
ESTACI?N  : 26295
NOMBRE    : CABORCA
ESTADO    : SONORA
MUNICIPIO : CABORCA
SITUACI?N : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0030.716?
LONGITUD  : -112.159?
ALTITUD   : 285 msnm
 
EMISI?N   : 21/06/2018 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     ?C     ?C 
---------- ------ ------ ------ ------
01/08/1977  0      11.5   40     27 
02/08/1977  0      10.9   39     27 
03/08/1977  0      11.5   42     25 
04/08/1977  0      11.5   43     24 
05/08/1977  0      10.8   43     24 
06/08/1977  0      12.9   40     30 
07/08/1977  0      9.5    40     27 
08/08/1977  0      10.9   39     24 
09/08/1977  8      10.6   39     23 
10/08/1977  0      9      38     21 
11/08/1977  0      7.2    40     24 
12/08/1977  0      9      40     27 
13/08/1977  0      8      39     24 
14/08/1977  4      8.9    39     25 
15/08/1977  1.5    5.3    33     23 
16/08/1977  0      7.9    28     18 
17/08/1977  0      4.8    31     23 
18/08/1977  0      11.8   37     24 
19/08/1977  0      10.2   40     25 
20/08/1977  0      10     36     27 
21/08/1977  0      8.9    41     26 
22/08/1977  0      9.6    45     23 
23/08/1977  0      7.5    38     24 
24/08/1977  0      7.7    36     23 
25/08/1977  0      11.2   40     26 
26/08/1977  0      11.1   40     22 
27/08/1977  0      14.8   32     21 
28/08/1977  0      12.1   39     21 
29/08/1977  0      10.4   40     21 
30/08/1977  0      11.3   39     20 
31/08/1977  0      12.2   38.5   22 
01/09/1977  0      11.3   39     21 
02/09/1977  0      9.3    41     20 
03/09/1977  0      9.5    40     24 
04/09/1977  9.5    10.3   42.5   23 
05/09/1977  11.5   8.6    38     23 
06/09/1977  0      8.1    40     23 
07/09/1977  0      7.7    41     24 
08/09/1977  0      9.8    40     25 
09/09/1977  0      8      39     24 
10/09/1977  0      9.6    40     25 
11/09/1977  0      8.3    41     26 
12/09/1977  0      8.4    36     26 
13/09/1977  0      5.8    36     20 
14/09/1977  0      7.6    32     19 
15/09/1977  0      10.1   38     21 
16/09/1977  0      8.6    35     20 
17/09/1977  0      8.9    39     20 
18/09/1977  0      8.4    38     21 
19/09/1977  0      8.4    38     19 
20/09/1977  0      10.2   38     19 
21/09/1977  0      10.2   39     18 
22/09/1977  0      7.4    37     20 
23/09/1977  0      7.5    39     18 
24/09/1977  0      7.6    37     19 
25/09/1977  0      8.2    38     18 
26/09/1977  0      7.5    39     17 
27/09/1977  0      7.5    38     19 
28/09/1977  0      8.2    39     18 
29/09/1977  0      8.2    38     17 
30/09/1977  0      8.3    38.5   19 
01/10/1977  0      8.4    39     17 
02/10/1977  0      8.2    37     18 
03/10/1977  0      7.4    39     16 
04/10/1977  0      8.3    38     19 
05/10/1977  32.2   8.2    36     17 
06/10/1977  35.3   4.5    35     16 
07/10/1977  4.3    1.9    36     20 
08/10/1977  0      0.3    34     18 
09/10/1977  0      3      36     16 
10/10/1977  0      3      34     15 
11/10/1977  0      3.5    34     16 
12/10/1977  0      5.3    35     19 
13/10/1977  0      4.7    34     18 
14/10/1977  0      5.4    36     17 
15/10/1977  0      4.6    34     18 
16/10/1977  0      6.2    34     16 
17/10/1977  0      5.3    35     17 
